Option,Expiry,Size,Bid,Ask,Size,Buy/Sell,Volume,Price,Description
AC,N/A,200,49.975,50.025,200,Choose,Volume,+ 0.71,"Aether Crystals (AETHER-CRYSTAL) are precision-grown minerals formed under controlled electromagnetic conditions. Each crystal stores and stabilizes ambient energy fluctuations, making them invaluable in advanced communication systems, architectural harmonics, and precision instrumentation."
AC_50_P,T + 21,50,12,12.05,50,Choose,Volume,+ 2.71,"AC_50_P is an Aether Crystal PUT Option contract with a Strike Price of 50 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_50_C,T + 21,50,12,12.05,50,Choose,Volume,- 0.45,"AC_50_C is an Aether Crystal CALL Option contract with a Strike Price of 50 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_35_P,T + 21,50,4.33,4.35,50,Choose,Volume,+ 0.42,"AC_35_P is an Aether Crystal PUT Option contract with a Strike Price of 35 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_40_P,T + 21,50,6.5,6.55,50,Choose,Volume,0.00,"AC_40_P is an Aether Crystal PUT Option contract with a Strike Price of 40 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_45_P,T + 21,50,9.05,9.1,50,Choose,Volume,- 0.48,"AC_45_P is an Aether Crystal PUT Option contract with a Strike Price of 45 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_60_C,T + 21,50,8.8,8.85,50,Choose,Volume,+ 0.42,"AC_60_C is an Aether Crystal CALL Option contract with a Strike Price of 60 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara)."
AC_50_P_2,T + 14,50,9.7,9.75,50,Choose,Volume,+ 0.71,"AC_50_P_2 is an Aether Crystal PUT Option contract with a Strike Price of 50 XIRECs and a Time To Expiry of 14 Solvenarian Days (starting from Round 1, on Intara)."
AC_50_C_2,T + 14,50,9.7,9.75,50,Choose,Volume,+ 0.71,"AC_50_C_2 is an Aether Crystal CALL Option contract with a Strike Price of 50 XIRECs and a Time To Expiry of 14 Solvenarian Days (starting from Round 1, on Intara)."
AC_50_CO,T + 14/21,50,22.2,22.3,50,Choose,Volume,+ 0.71,"AC_50_CO is an Aether Crystal CHOOSER Option contract with a Strike Price of 50 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara). After 14 Solvenarian Days, the buyer chooses the side (PUT or CALL). At that point, the contract automatically converts to the side that is ""in the money"". After the remaining 7 Solvenarian Days, the contract expires like a standard PUT or CALL option."
AC_40_BP,T + 21,50,5,5.1,50,Choose,Volume,+ 0.71,"AC_40_BP is an Aether Crystal BINARY PUT Option contract with a Strike Price of 40 XIRECs and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara). If the value of the Aether Crystal at expiry is below 40 XIRECs, the contract pays a fixed amount of 10 XIRECs. If the value is at or above 40 XIRECs at expiry, the contract expires worthless."
AC_45_KO,T + 21,500,0.15,0.175,500,Choose,Volume,+ 0.71,"AC_45_KO is an Aether Crystal KNOCK-OUT PUT Option contract with a Strike Price of 45 XIRECs, a Barrier Price of 35 XIRECs, and a Time To Expiry of 21 Solvenarian Days (starting from Round 1, on Intara). If the value of the Aether Crystal ever falls below 35 XIRECs, the contract is knocked out and expires worthless. If the barrier is never breached, the contract operates with the same payoff as a standard PUT option with a Strike Price of 45 XIRECs."
